video_name,Total_Frames,Frame_Min,Frame_Max,Duration_Sec,Duration_Min
1,958,0,957,31.93,0.53
10,873,0,872,29.1,0.49
2,999,1,999,33.3,0.55
3,1043,0,1042,34.77,0.58
4,1069,1,1069,35.63,0.59
5,833,1,833,27.77,0.46
6,925,0,924,30.83,0.51
7,1008,0,1007,33.6,0.56
8,978,0,977,32.6,0.54
9,968,0,967,32.27,0.54
Recording from 2025-10-14 21-30-50.116152,161,0,160,5.37,0.09
Recording from 2025-10-14 21-31-09.659642,190,0,189,6.33,0.11
Recording from 2025-10-14 21-31-31.234256,189,0,188,6.3,0.1
Recording from 2025-10-14 21-31-50.999224,142,0,142,4.73,0.08
Recording from 2025-10-14 21-32-07.667823,182,0,181,6.07,0.1
Recording from 2025-10-14 21-32-26.364864,153,0,152,5.1,0.08
Recording from 2025-10-14 21-32-44.042153,129,1,129,4.3,0.07
Recording from 2025-10-14 21-32-58.654651,112,1,112,3.73,0.06
Recording from 2025-10-14 21-33-12.020532,162,0,161,5.4,0.09
Recording from 2025-10-14 21-33-29.222947,142,0,141,4.73,0.08
Recording from 2025-10-14 21-33-45.032303,105,0,104,3.5,0.06
WhatsApp Video 2025-10-16 at 7.37.19 AM,750,0,749,25.0,0.42
WhatsApp Video 2025-10-16 at 7.37.19 AM(1),671,1,671,22.37,0.37
WhatsApp Video 2025-10-16 at 7.37.19 AM(2),690,0,690,23.0,0.38
WhatsApp Video 2025-10-16 at 7.37.19 AM(3),667,0,666,22.23,0.37
WhatsApp Video 2025-10-16 at 7.37.19 AM(4),658,0,657,21.93,0.37
WhatsApp Video 2025-10-16 at 7.37.19 AM(5),601,0,600,20.03,0.33
WhatsApp Video 2025-10-16 at 7.37.19 AM(6),625,0,624,20.83,0.35
WhatsApp Video 2025-10-16 at 7.37.19 AM(7),581,0,580,19.37,0.32
WhatsApp Video 2025-10-16 at 7.37.19 AM(8),543,0,542,18.1,0.3
WhatsApp Video 2025-10-16 at 7.37.19 AM(9),585,0,584,19.5,0.32
WhatsApp Video 2025-10-16 at 7.43.12 AM,1355,1,1355,45.17,0.75
WhatsApp Video 2025-10-16 at 7.43.13 AM,1433,0,1432,47.77,0.8
WhatsApp Video 2025-10-16 at 7.43.13 AM(1),1266,0,1265,42.2,0.7
WhatsApp Video 2025-10-16 at 7.43.13 AM(2),1234,0,1233,41.13,0.69
WhatsApp Video 2025-10-16 at 7.43.13 AM(3),1364,0,1363,45.47,0.76
WhatsApp Video 2025-10-16 at 7.43.13 AM(4),1500,0,1499,50.0,0.83
